Household_Size,Seasonal_Index,Garden_Area,Daily_Liters_Used
4.0,1.0861206339659695,105.26066756839876,636.2039066316107
5.0,1.1002432716455972,,820.0699139342188
3.0,1.2098929054482128,127.09845347087187,-528.2713026642234
5.0,1.1648216074394764,42.3578939392642,796.2773170806768
5.0,0.9048439921766319,140.41806750839476,682.9556608774114
2.0,0.8459053508526455,95.94670944620086,291.9623936738825
3.0,1.3105908141085783,108.30257218112858,612.1623420466975
3.0,1.1918022051498194,15.760154823679542,503.9025663898985
3.0,1.0513005376554847,155.26576018089577,494.51806799061563
5.0,1.3658504757486516,168.73131264089753,979.8877818598118
4.0,1.0716409319826699,127.69009524756385,670.5505354747239
3.0,1.3571755627204252,152.2574907063659,613.1607320255905
6.0,1.0140292892586622,109.31414060269937,878.2100439582234
5.0,0.8509917082816398,127.48714200592556,636.409329357942
2.0,1.4528477856599502,84.96862270801533,433.7168014734307
4.0,1.0761857904969612,160.4561103618774,643.876443773422
6.0,1.3548848009945647,98.9714767502536,1173.883704007538
6.0,0.9954008932556131,,862.7720135967212
2.0,1.2524555784865592,128.0715819377059,404.5786463301479
4.0,1.4113176112804098,143.43975849329246,-827.1542606343893
5.0,0.8291508156379863,159.19101627379243,648.4776340692483
1.0,1.3814450352802625,107.41556150266908,237.06451725690425
4.0,1.19993310348035,164.48253035857704,725.5078562758837
2.0,1.2252302277359985,,399.35931089564735
6.0,1.166210600564188,191.760521344148,1035.6593381187356
5.0,1.4121325722985496,153.0076322368109,1050.8575746370068
4.0,0.8304033500649463,42.51691345175219,451.17476231781626
1.0,0.9827198740750938,167.62104955905195,212.73693321678317
1.0,1.4130337772014088,114.80165555326049,235.2648274128942
3.0,1.326641991772369,197.0475820150344,636.2758575157252
3.0,0.8123516121250242,146.57561829797018,-381.69088722260506
2.0,1.161904398246796,26.034241848336304,336.0243515825928
4.0,1.1707008764988724,85.04248124596627,685.4870571343711
4.0,1.0806174945895373,108.28232650792064,660.2676301669196
6.0,1.0081753324433929,169.41258460036235,914.0394689701981
6.0,1.2772073952886394,148.5756515226568,1121.3671264467996
6.0,0.9454533252933277,80.17841341621138,816.1172365167403
3.0,1.3592639934501942,134.1522106254995,614.3072269141347
4.0,1.3621260125372303,,819.6378481324268
4.0,1.0906830063009743,33.94999570095731,614.2586991986951
1.0,0.9984836076367534,54.6231516697341,199.21401967148248
3.0,0.9987147271134993,74.81323941571974,468.1925379491376
5.0,1.1376039267973472,47.14184720906555,-796.6527689463188
3.0,1.303705457324551,38.52543070770486,553.1973631580859
5.0,1.0512080836957012,21.057576324754535,732.5742782506555
1.0,1.227030341820426,175.8894874656967,277.35087598559403
2.0,1.067739122407816,64.8992494133222,297.71525813616665
4.0,1.0131662324059683,65.16091474737757,599.3764052548646
1.0,0.817401661141056,49.183346111729534,140.53924469537347
4.0,0.8027398740147735,100.32550065413777,499.84690751813775
6.0,0.9590453744824031,107.70597390525076,819.8905381364416
2.0,1.0844844007606969,49.573458138765204,306.13169157040187
2.0,1.395882817153442,125.6283641940936,444.79285940099885
